"year";"orgnr";"var";"denominator";"ind_id"
2008;874632562;215;243;"hoftebrudd_dekgrad_prim_brudd"
2009;874632562;195;229;"hoftebrudd_dekgrad_prim_brudd"
2010;874632562;186;214;"hoftebrudd_dekgrad_prim_brudd"
2011;874632562;155;186;"hoftebrudd_dekgrad_prim_brudd"
2012;874632562;239;295;"hoftebrudd_dekgrad_prim_brudd"
2013;874632562;112;254;"hoftebrudd_dekgrad_prim_brudd"
2014;874632562;80;220;"hoftebrudd_dekgrad_prim_brudd"
2015;874632562;139;226;"hoftebrudd_dekgrad_prim_brudd"
2016;874632562;156;226;"hoftebrudd_dekgrad_prim_brudd"
2017;874632562;134;213;"hoftebrudd_dekgrad_prim_brudd"
2018;874632562;173;196;"hoftebrudd_dekgrad_prim_brudd"
2013;874716782;0;1;"hoftebrudd_dekgrad_prim_brudd"
2014;874716782;2;2;"hoftebrudd_dekgrad_prim_brudd"
2015;874716782;1;2;"hoftebrudd_dekgrad_prim_brudd"
2016;874716782;1;3;"hoftebrudd_dekgrad_prim_brudd"
2017;874716782;0;1;"hoftebrudd_dekgrad_prim_brudd"
2018;874716782;0;2;"hoftebrudd_dekgrad_prim_brudd"
2008;874743372;1;1;"hoftebrudd_dekgrad_prim_brudd"
2010;874743372;1;1;"hoftebrudd_dekgrad_prim_brudd"
2011;874743372;1;1;"hoftebrudd_dekgrad_prim_brudd"
2013;874743372;1;1;"hoftebrudd_dekgrad_prim_brudd"
2018;874743372;0;4;"hoftebrudd_dekgrad_prim_brudd"
2010;974116588;2;2;"hoftebrudd_dekgrad_prim_brudd"
2011;974116588;3;3;"hoftebrudd_dekgrad_prim_brudd"
2012;974116588;2;2;"hoftebrudd_dekgrad_prim_brudd"
2013;974116588;1;1;"hoftebrudd_dekgrad_prim_brudd"
2018;974116588;0;2;"hoftebrudd_dekgrad_prim_brudd"
2008;974116804;526;551;"hoftebrudd_dekgrad_prim_brudd"
2009;974116804;492;501;"hoftebrudd_dekgrad_prim_brudd"
2010;974116804;484;494;"hoftebrudd_dekgrad_prim_brudd"
2011;974116804;478;497;"hoftebrudd_dekgrad_prim_brudd"
2012;974116804;452;493;"hoftebrudd_dekgrad_prim_brudd"
2013;974116804;421;486;"hoftebrudd_dekgrad_prim_brudd"
2014;974116804;495;506;"hoftebrudd_dekgrad_prim_brudd"
2015;974116804;506;520;"hoftebrudd_dekgrad_prim_brudd"
2016;974116804;521;525;"hoftebrudd_dekgrad_prim_brudd"
2017;974116804;473;488;"hoftebrudd_dekgrad_prim_brudd"
2018;974116804;485;496;"hoftebrudd_dekgrad_prim_brudd"
2008;974207532;0;1;"hoftebrudd_dekgrad_prim_brudd"
2012;974207532;0;1;"hoftebrudd_dekgrad_prim_brudd"
2018;974207532;2;2;"hoftebrudd_dekgrad_prim_brudd"
2008;974316285;202;216;"hoftebrudd_dekgrad_prim_brudd"
2009;974316285;192;209;"hoftebrudd_dekgrad_prim_brudd"
2010;974316285;200;211;"hoftebrudd_dekgrad_prim_brudd"
2011;974316285;206;216;"hoftebrudd_dekgrad_prim_brudd"
2012;974316285;226;236;"hoftebrudd_dekgrad_prim_brudd"
2013;974316285;183;196;"hoftebrudd_dekgrad_prim_brudd"
2014;974316285;171;187;"hoftebrudd_dekgrad_prim_brudd"
2015;974316285;182;191;"hoftebrudd_dekgrad_prim_brudd"
2016;974316285;191;223;"hoftebrudd_dekgrad_prim_brudd"
2017;974316285;172;185;"hoftebrudd_dekgrad_prim_brudd"
2018;974316285;182;190;"hoftebrudd_dekgrad_prim_brudd"
2008;974329506;127;143;"hoftebrudd_dekgrad_prim_brudd"
2009;974329506;104;112;"hoftebrudd_dekgrad_prim_brudd"
2010;974329506;129;135;"hoftebrudd_dekgrad_prim_brudd"
2011;974329506;135;144;"hoftebrudd_dekgrad_prim_brudd"
2012;974329506;121;126;"hoftebrudd_dekgrad_prim_brudd"
2013;974329506;148;150;"hoftebrudd_dekgrad_prim_brudd"
2014;974329506;122;127;"hoftebrudd_dekgrad_prim_brudd"
2015;974329506;124;138;"hoftebrudd_dekgrad_prim_brudd"
2016;974329506;131;138;"hoftebrudd_dekgrad_prim_brudd"
2017;974329506;140;153;"hoftebrudd_dekgrad_prim_brudd"
2018;974329506;134;143;"hoftebrudd_dekgrad_prim_brudd"
2008;974557746;382;411;"hoftebrudd_dekgrad_prim_brudd"
2009;974557746;357;392;"hoftebrudd_dekgrad_prim_brudd"
2010;974557746;354;395;"hoftebrudd_dekgrad_prim_brudd"
2011;974557746;317;377;"hoftebrudd_dekgrad_prim_brudd"
2012;974557746;310;342;"hoftebrudd_dekgrad_prim_brudd"
2013;974557746;353;382;"hoftebrudd_dekgrad_prim_brudd"
2014;974557746;372;393;"hoftebrudd_dekgrad_prim_brudd"
2015;974557746;361;387;"hoftebrudd_dekgrad_prim_brudd"
2016;974557746;382;398;"hoftebrudd_dekgrad_prim_brudd"
2017;974557746;365;383;"hoftebrudd_dekgrad_prim_brudd"
2018;974557746;284;338;"hoftebrudd_dekgrad_prim_brudd"
2013;974589095;9;9;"hoftebrudd_dekgrad_prim_brudd"
2014;974589095;259;327;"hoftebrudd_dekgrad_prim_brudd"
2015;974589095;297;343;"hoftebrudd_dekgrad_prim_brudd"
2016;974589095;252;286;"hoftebrudd_dekgrad_prim_brudd"
2017;974589095;213;259;"hoftebrudd_dekgrad_prim_brudd"
2018;974589095;253;278;"hoftebrudd_dekgrad_prim_brudd"
2010;974595214;65;75;"hoftebrudd_dekgrad_prim_brudd"
2011;974595214;93;104;"hoftebrudd_dekgrad_prim_brudd"
2012;974595214;69;74;"hoftebrudd_dekgrad_prim_brudd"
2013;974595214;69;82;"hoftebrudd_dekgrad_prim_brudd"
2014;974595214;66;77;"hoftebrudd_dekgrad_prim_brudd"
2015;974595214;71;81;"hoftebrudd_dekgrad_prim_brudd"
2016;974595214;63;64;"hoftebrudd_dekgrad_prim_brudd"
2017;974595214;63;74;"hoftebrudd_dekgrad_prim_brudd"
2018;974595214;45;57;"hoftebrudd_dekgrad_prim_brudd"
2010;974631091;169;186;"hoftebrudd_dekgrad_prim_brudd"
2011;974631091;140;168;"hoftebrudd_dekgrad_prim_brudd"
2012;974631091;143;174;"hoftebrudd_dekgrad_prim_brudd"
2013;974631091;170;210;"hoftebrudd_dekgrad_prim_brudd"
2014;974631091;165;207;"hoftebrudd_dekgrad_prim_brudd"
2015;974631091;137;179;"hoftebrudd_dekgrad_prim_brudd"
2016;974631091;163;163;"hoftebrudd_dekgrad_prim_brudd"
2017;974631091;165;190;"hoftebrudd_dekgrad_prim_brudd"
2018;974631091;96;197;"hoftebrudd_dekgrad_prim_brudd"
2008;974631326;267;293;"hoftebrudd_dekgrad_prim_brudd"
2009;974631326;275;301;"hoftebrudd_dekgrad_prim_brudd"
2010;974631326;203;247;"hoftebrudd_dekgrad_prim_brudd"
2011;974631326;216;246;"hoftebrudd_dekgrad_prim_brudd"
2012;974631326;199;231;"hoftebrudd_dekgrad_prim_brudd"
2013;974631326;216;254;"hoftebrudd_dekgrad_prim_brudd"
2014;974631326;231;250;"hoftebrudd_dekgrad_prim_brudd"
2015;974631326;238;262;"hoftebrudd_dekgrad_prim_brudd"
2016;974631326;248;267;"hoftebrudd_dekgrad_prim_brudd"
2017;974631326;257;268;"hoftebrudd_dekgrad_prim_brudd"
2018;974631326;254;264;"hoftebrudd_dekgrad_prim_brudd"
