"year";"orgnr";"denominator";"ind_id";"var"
2015;974706490;232;"leddprotese_dg_kne";222
2015;974707152;4;"leddprotese_dg_kne";0
2015;874716782;33;"leddprotese_dg_kne";29
2015;974589095;61;"leddprotese_dg_kne";60
2015;974633558;290;"leddprotese_dg_kne";289
2015;974631768;128;"leddprotese_dg_kne";126
2015;974632535;101;"leddprotese_dg_kne";95
2015;974631776;156;"leddprotese_dg_kne";154
2015;874632562;71;"leddprotese_dg_kne";69
2015;974725215;178;"leddprotese_dg_kne";166
2015;974633752;14;"leddprotese_dg_kne";2
2015;974633698;198;"leddprotese_dg_kne";196
2015;974631091;155;"leddprotese_dg_kne";142
2015;974595214;62;"leddprotese_dg_kne";62
2015;974733013;173;"leddprotese_dg_kne";165
2015;974705788;61;"leddprotese_dg_kne";58
2015;974631326;135;"leddprotese_dg_kne";132
2015;974631385;91;"leddprotese_dg_kne";91
2015;974631407;136;"leddprotese_dg_kne";135
2015;974633159;23;"leddprotese_dg_kne";23
2015;974116804;237;"leddprotese_dg_kne";233
2015;974207532;513;"leddprotese_dg_kne";509
2015;974116588;466;"leddprotese_dg_kne";465
2015;922748144;96;"leddprotese_dg_kne";90
2015;974557746;77;"leddprotese_dg_kne";76
2015;874743372;227;"leddprotese_dg_kne";225
2015;974743272;60;"leddprotese_dg_kne";59
2015;974724774;99;"leddprotese_dg_kne";98
2015;974742985;24;"leddprotese_dg_kne";22
2015;974744570;53;"leddprotese_dg_kne";50
2015;974745089;289;"leddprotese_dg_kne";244
2015;974703300;168;"leddprotese_dg_kne";156
2015;974316285;162;"leddprotese_dg_kne";158
2015;973156829;33;"leddprotese_dg_kne";33
2015;974746948;157;"leddprotese_dg_kne";139
2015;974747545;62;"leddprotese_dg_kne";61
2015;974747138;102;"leddprotese_dg_kne";102
2015;974754118;93;"leddprotese_dg_kne";92
2015;974753898;82;"leddprotese_dg_kne";81
2015;974749505;2;"leddprotese_dg_kne";0
2015;974329506;106;"leddprotese_dg_kne";104
