"year";"orgnr";"denominator";"ind_id";"var"
2015;974706490;61;"leddprotese_dg_rev_hofte";56
2015;974707152;2;"leddprotese_dg_rev_hofte";0
2015;874716782;90;"leddprotese_dg_rev_hofte";85
2015;974589095;60;"leddprotese_dg_rev_hofte";54
2015;974633558;44;"leddprotese_dg_rev_hofte";44
2015;974633574;7;"leddprotese_dg_rev_hofte";7
2015;974631768;56;"leddprotese_dg_rev_hofte";51
2015;974632535;39;"leddprotese_dg_rev_hofte";37
2015;974631776;24;"leddprotese_dg_rev_hofte";24
2015;874632562;16;"leddprotese_dg_rev_hofte";13
2015;974633752;27;"leddprotese_dg_rev_hofte";20
2015;974633698;30;"leddprotese_dg_rev_hofte";30
2015;974631091;27;"leddprotese_dg_rev_hofte";20
2015;974595214;15;"leddprotese_dg_rev_hofte";13
2015;974733013;47;"leddprotese_dg_rev_hofte";40
2015;974705788;43;"leddprotese_dg_rev_hofte";40
2015;974631326;66;"leddprotese_dg_rev_hofte";60
2015;974631385;3;"leddprotese_dg_rev_hofte";3
2015;974631407;9;"leddprotese_dg_rev_hofte";7
2015;974116804;38;"leddprotese_dg_rev_hofte";36
2015;974207532;105;"leddprotese_dg_rev_hofte";104
2015;974116588;57;"leddprotese_dg_rev_hofte";56
2015;974557746;51;"leddprotese_dg_rev_hofte";49
2015;874743372;61;"leddprotese_dg_rev_hofte";59
2015;974743272;8;"leddprotese_dg_rev_hofte";7
2015;974724774;21;"leddprotese_dg_rev_hofte";20
2015;974742985;4;"leddprotese_dg_rev_hofte";2
2015;974744570;11;"leddprotese_dg_rev_hofte";9
2015;974745089;4;"leddprotese_dg_rev_hofte";0
2015;974703300;66;"leddprotese_dg_rev_hofte";63
2015;974316285;9;"leddprotese_dg_rev_hofte";9
2015;973156829;1;"leddprotese_dg_rev_hofte";1
2015;974746948;26;"leddprotese_dg_rev_hofte";21
2015;974745569;2;"leddprotese_dg_rev_hofte";2
2015;974747545;4;"leddprotese_dg_rev_hofte";4
2015;974747138;46;"leddprotese_dg_rev_hofte";39
2015;974754118;27;"leddprotese_dg_rev_hofte";27
2015;974753898;19;"leddprotese_dg_rev_hofte";17
2015;974329506;7;"leddprotese_dg_rev_hofte";7
2015;974749025;158;"leddprotese_dg_rev_hofte";142
2015;974795833;1;"leddprotese_dg_rev_hofte";0
2015;974795361;44;"leddprotese_dg_rev_hofte";44
2015;974795558;1;"leddprotese_dg_rev_hofte";0
2015;974795574;1;"leddprotese_dg_rev_hofte";1
2015;974795639;1;"leddprotese_dg_rev_hofte";1
2015;974795787;35;"leddprotese_dg_rev_hofte";34
2015;974795515;2;"leddprotese_dg_rev_hofte";1
2015;975787419;3;"leddprotese_dg_rev_hofte";3
2016;974706490;61;"leddprotese_dg_rev_hofte";61
2016;974707152;9;"leddprotese_dg_rev_hofte";0
2016;874716782;38;"leddprotese_dg_rev_hofte";34
2016;974589095;80;"leddprotese_dg_rev_hofte";77
2016;974633558;37;"leddprotese_dg_rev_hofte";37
2016;974633574;8;"leddprotese_dg_rev_hofte";7
2016;974631768;45;"leddprotese_dg_rev_hofte";39
2016;974632535;30;"leddprotese_dg_rev_hofte";27
2016;974631776;17;"leddprotese_dg_rev_hofte";17
2016;874632562;28;"leddprotese_dg_rev_hofte";26
2016;974725215;6;"leddprotese_dg_rev_hofte";4
2016;974633752;32;"leddprotese_dg_rev_hofte";31
2016;974633698;29;"leddprotese_dg_rev_hofte";29
2016;974631091;37;"leddprotese_dg_rev_hofte";37
2016;974595214;22;"leddprotese_dg_rev_hofte";22
2016;974733013;47;"leddprotese_dg_rev_hofte";47
2016;974705788;33;"leddprotese_dg_rev_hofte";31
2016;974631326;59;"leddprotese_dg_rev_hofte";57
2016;974631385;10;"leddprotese_dg_rev_hofte";8
2016;974631407;31;"leddprotese_dg_rev_hofte";31
2016;974116804;31;"leddprotese_dg_rev_hofte";31
2016;974207532;109;"leddprotese_dg_rev_hofte";108
2016;974116588;45;"leddprotese_dg_rev_hofte";44
2016;922748144;6;"leddprotese_dg_rev_hofte";6
2016;974557746;80;"leddprotese_dg_rev_hofte";77
2016;874743372;42;"leddprotese_dg_rev_hofte";40
2016;974743272;14;"leddprotese_dg_rev_hofte";13
2016;974724774;15;"leddprotese_dg_rev_hofte";15
2016;974742985;2;"leddprotese_dg_rev_hofte";2
