"year";"orgnr";"denominator";"ind_id";"var"
2015;974706490;11;"leddprotese_dg_rev_kne";11
2015;974707152;2;"leddprotese_dg_rev_kne";0
2015;874716782;34;"leddprotese_dg_rev_kne";31
2015;974589095;29;"leddprotese_dg_rev_kne";28
2015;974633558;9;"leddprotese_dg_rev_kne";9
2015;974633574;3;"leddprotese_dg_rev_kne";3
2015;974631768;8;"leddprotese_dg_rev_kne";8
2015;974632535;1;"leddprotese_dg_rev_kne";1
2015;974631776;11;"leddprotese_dg_rev_kne";10
2015;974725215;3;"leddprotese_dg_rev_kne";3
2015;974633752;3;"leddprotese_dg_rev_kne";1
2015;974633698;12;"leddprotese_dg_rev_kne";12
2015;974631091;13;"leddprotese_dg_rev_kne";12
2015;974733013;17;"leddprotese_dg_rev_kne";13
2015;974705788;11;"leddprotese_dg_rev_kne";10
2015;974631326;14;"leddprotese_dg_rev_kne";14
2015;974631385;1;"leddprotese_dg_rev_kne";1
2015;974631407;15;"leddprotese_dg_rev_kne";15
2015;974116804;35;"leddprotese_dg_rev_kne";33
2015;974207532;60;"leddprotese_dg_rev_kne";59
2015;974116588;18;"leddprotese_dg_rev_kne";18
2015;922748144;15;"leddprotese_dg_rev_kne";13
2015;974557746;18;"leddprotese_dg_rev_kne";16
2015;874743372;9;"leddprotese_dg_rev_kne";9
2015;974743272;7;"leddprotese_dg_rev_kne";6
2015;974724774;6;"leddprotese_dg_rev_kne";6
2015;974744570;2;"leddprotese_dg_rev_kne";2
2015;974745089;24;"leddprotese_dg_rev_kne";15
2015;974703300;22;"leddprotese_dg_rev_kne";19
2015;974316285;6;"leddprotese_dg_rev_kne";5
2015;973156829;7;"leddprotese_dg_rev_kne";6
2015;974746948;35;"leddprotese_dg_rev_kne";29
2015;974747138;7;"leddprotese_dg_rev_kne";7
2015;974754118;15;"leddprotese_dg_rev_kne";15
2015;974753898;1;"leddprotese_dg_rev_kne";1
2015;974749025;87;"leddprotese_dg_rev_kne";80
2015;974795361;15;"leddprotese_dg_rev_kne";12
2015;974795787;14;"leddprotese_dg_rev_kne";11
2015;974795515;1;"leddprotese_dg_rev_kne";1
2016;974706490;20;"leddprotese_dg_rev_kne";19
2016;974707152;4;"leddprotese_dg_rev_kne";0
2016;874716782;23;"leddprotese_dg_rev_kne";16
2016;974589095;45;"leddprotese_dg_rev_kne";42
2016;974633558;9;"leddprotese_dg_rev_kne";9
2016;974633574;6;"leddprotese_dg_rev_kne";6
2016;974631768;12;"leddprotese_dg_rev_kne";11
2016;974632535;10;"leddprotese_dg_rev_kne";9
2016;974631776;9;"leddprotese_dg_rev_kne";7
2016;874632562;4;"leddprotese_dg_rev_kne";4
2016;974725215;4;"leddprotese_dg_rev_kne";4
2016;974633752;4;"leddprotese_dg_rev_kne";4
2016;974633698;19;"leddprotese_dg_rev_kne";19
2016;974631091;13;"leddprotese_dg_rev_kne";13
2016;974595214;1;"leddprotese_dg_rev_kne";1
2016;974733013;14;"leddprotese_dg_rev_kne";14
2016;974705788;7;"leddprotese_dg_rev_kne";7
2016;974631326;18;"leddprotese_dg_rev_kne";17
2016;974631385;3;"leddprotese_dg_rev_kne";3
2016;974631407;20;"leddprotese_dg_rev_kne";20
2016;974116804;49;"leddprotese_dg_rev_kne";45
2016;974207532;45;"leddprotese_dg_rev_kne";45
2016;974116588;15;"leddprotese_dg_rev_kne";15
2016;922748144;8;"leddprotese_dg_rev_kne";7
2016;974557746;23;"leddprotese_dg_rev_kne";21
2016;874743372;14;"leddprotese_dg_rev_kne";14
2016;974743272;13;"leddprotese_dg_rev_kne";12
2016;974724774;3;"leddprotese_dg_rev_kne";2
2016;974742985;1;"leddprotese_dg_rev_kne";1
2016;974745089;17;"leddprotese_dg_rev_kne";17
2016;974703300;15;"leddprotese_dg_rev_kne";14
2016;974316285;10;"leddprotese_dg_rev_kne";10
2016;973156829;4;"leddprotese_dg_rev_kne";3
2016;974746948;34;"leddprotese_dg_rev_kne";29
2016;974747545;3;"leddprotese_dg_rev_kne";3
2016;974747138;10;"leddprotese_dg_rev_kne";10
2016;974754118;9;"leddprotese_dg_rev_kne";9
2016;974753898;2;"leddprotese_dg_rev_kne";2
2016;974329506;5;"leddprotese_dg_rev_kne";4
2016;974749505;1;"leddprotese_dg_rev_kne";1
2016;974749025;95;"leddprotese_dg_rev_kne";84
2016;974795361;10;"leddprotese_dg_rev_kne";9
2016;974795574;4;"leddprotese_dg_rev_kne";4
2016;974795639;2;"leddprotese_dg_rev_kne";2
2016;974795787;7;"leddprotese_dg_rev_kne";7
2016;974795515;2;"leddprotese_dg_rev_kne";2
2017;974631091;16;"leddprotese_dg_rev_kne";9
2017;974631326;13;"leddprotese_dg_rev_kne";13
2017;974705788;6;"leddprotese_dg_rev_kne";5
2017;974116804;34;"leddprotese_dg_rev_kne";33
2017;974316285;15;"leddprotese_dg_rev_kne";14
2017;974207532;55;"leddprotese_dg_rev_kne";55
2017;974724774;10;"leddprotese_dg_rev_kne";10
2017;974746948;24;"leddprotese_dg_rev_kne";23
2017;974745089;34;"leddprotese_dg_rev_kne";28
2017;974747545;3;"leddprotese_dg_rev_kne";3
2017;974742985;1;"leddprotese_dg_rev_kne";1
2017;974743272;11;"leddprotese_dg_rev_kne";11
2017;974632535;6;"leddprotese_dg_rev_kne";6
2017;974795639;1;"leddprotese_dg_rev_kne";1
2017;974557746;28;"leddprotese_dg_rev_kne";27
2017;974754118;9;"leddprotese_dg_rev_kne";9
2017;974631385;3;"leddprotese_dg_rev_kne";3
2017;974631776;15;"leddprotese_dg_rev_kne";15
2017;874743372;10;"leddprotese_dg_rev_kne";10
2017;974633558;12;"leddprotese_dg_rev_kne";12
2017;874632562;4;"leddprotese_dg_rev_kne";4
2017;974116588;29;"leddprotese_dg_rev_kne";26
2017;974633698;23;"leddprotese_dg_rev_kne";22
2017;974753898;4;"leddprotese_dg_rev_kne";4
2017;974795361;11;"leddprotese_dg_rev_kne";9
2017;974329506;1;"leddprotese_dg_rev_kne";1
2017;974795515;3;"leddprotese_dg_rev_kne";2
2017;974795787;14;"leddprotese_dg_rev_kne";9
2017;974749025;78;"leddprotese_dg_rev_kne";74
2017;974631407;22;"leddprotese_dg_rev_kne";21
2017;974631768;14;"leddprotese_dg_rev_kne";12
2017;974703300;27;"leddprotese_dg_rev_kne";25
2017;974744570;1;"leddprotese_dg_rev_kne";1
2017;974706490;25;"leddprotese_dg_rev_kne";25
2017;974733013;14;"leddprotese_dg_rev_kne";13
2017;974747138;15;"leddprotese_dg_rev_kne";12
2017;974633191;11;"leddprotese_dg_rev_kne";11
2017;974725215;7;"leddprotese_dg_rev_kne";7
2017;974589095;34;"leddprotese_dg_rev_kne";33
2017;974633574;8;"leddprotese_dg_rev_kne";8
2017;922748144;6;"leddprotese_dg_rev_kne";6
2017;974595214;6;"leddprotese_dg_rev_kne";4
2017;974749505;1;"leddprotese_dg_rev_kne";1
2017;973156829;4;"leddprotese_dg_rev_kne";4
2017;974707152;5;"leddprotese_dg_rev_kne";0
2017;975787419;1;"leddprotese_dg_rev_kne";1
2017;974633752;11;"leddprotese_dg_rev_kne";8
2018;974631091;14;"leddprotese_dg_rev_kne";9
2018;974631326;22;"leddprotese_dg_rev_kne";21
2018;974705788;13;"leddprotese_dg_rev_kne";13
2018;974116804;34;"leddprotese_dg_rev_kne";34
2018;974316285;25;"leddprotese_dg_rev_kne";23
2018;974207532;49;"leddprotese_dg_rev_kne";49
2018;974724774;4;"leddprotese_dg_rev_kne";4
2018;974746948;28;"leddprotese_dg_rev_kne";28
2018;974745089;21;"leddprotese_dg_rev_kne";21
2018;974747545;2;"leddprotese_dg_rev_kne";2
2018;974742985;2;"leddprotese_dg_rev_kne";2
2018;974743272;17;"leddprotese_dg_rev_kne";17
2018;974632535;8;"leddprotese_dg_rev_kne";7
2018;974795639;2;"leddprotese_dg_rev_kne";2
2018;974557746;24;"leddprotese_dg_rev_kne";24
2018;974754118;9;"leddprotese_dg_rev_kne";9
2018;974631385;8;"leddprotese_dg_rev_kne";8
2018;974631776;7;"leddprotese_dg_rev_kne";6
2018;874743372;7;"leddprotese_dg_rev_kne";7
2018;974633558;14;"leddprotese_dg_rev_kne";14
2018;874632562;6;"leddprotese_dg_rev_kne";6
2018;974116588;20;"leddprotese_dg_rev_kne";19
2018;974633698;29;"leddprotese_dg_rev_kne";27
2018;974753898;4;"leddprotese_dg_rev_kne";4
2018;974795361;22;"leddprotese_dg_rev_kne";22
2018;974329506;2;"leddprotese_dg_rev_kne";2
2018;974795515;2;"leddprotese_dg_rev_kne";2
2018;974795787;12;"leddprotese_dg_rev_kne";12
2018;974749025;87;"leddprotese_dg_rev_kne";82
2018;974631407;18;"leddprotese_dg_rev_kne";16
2018;974631768;12;"leddprotese_dg_rev_kne";12
2018;974703300;30;"leddprotese_dg_rev_kne";29
2018;974744570;1;"leddprotese_dg_rev_kne";1
2018;974706490;33;"leddprotese_dg_rev_kne";29
2018;974733013;9;"leddprotese_dg_rev_kne";8
2018;974747138;12;"leddprotese_dg_rev_kne";12
2018;974795574;3;"leddprotese_dg_rev_kne";1
2018;974633191;4;"leddprotese_dg_rev_kne";4
2018;974725215;9;"leddprotese_dg_rev_kne";8
2018;974589095;47;"leddprotese_dg_rev_kne";45
2018;974633574;5;"leddprotese_dg_rev_kne";3
2018;922748144;4;"leddprotese_dg_rev_kne";4
2018;953164701;1;"leddprotese_dg_rev_kne";1
2018;974595214;2;"leddprotese_dg_rev_kne";1
2018;974749505;1;"leddprotese_dg_rev_kne";1
2018;973156829;6;"leddprotese_dg_rev_kne";6
2018;974707152;4;"leddprotese_dg_rev_kne";0
2018;975787419;4;"leddprotese_dg_rev_kne";4
2018;974633752;3;"leddprotese_dg_rev_kne";2
2018;973144383;1;"leddprotese_dg_rev_kne";1
