"orgnr";"denominator";"year";"ind_id";"var"
974631091;990;2016;"leddprotese_surv2_hofte";975
974631326;1553;2016;"leddprotese_surv2_hofte";1526
974116804;849;2016;"leddprotese_surv2_hofte";829
974316285;798;2016;"leddprotese_surv2_hofte";791
974207532;2775;2016;"leddprotese_surv2_hofte";2718
974724774;461;2016;"leddprotese_surv2_hofte";451
974745569;134;2016;"leddprotese_surv2_hofte";130
974747545;332;2016;"leddprotese_surv2_hofte";319
974742985;341;2016;"leddprotese_surv2_hofte";327
974743272;291;2016;"leddprotese_surv2_hofte";276
974632535;592;2016;"leddprotese_surv2_hofte";551
974795639;182;2016;"leddprotese_surv2_hofte";179
974557746;191;2016;"leddprotese_surv2_hofte";187
974754118;490;2016;"leddprotese_surv2_hofte";477
974631385;948;2016;"leddprotese_surv2_hofte";909
974631776;467;2016;"leddprotese_surv2_hofte";460
874743372;1635;2016;"leddprotese_surv2_hofte";1606
974633558;1492;2016;"leddprotese_surv2_hofte";1451
874632562;528;2016;"leddprotese_surv2_hofte";515
974116588;2259;2016;"leddprotese_surv2_hofte";2214
974633698;1125;2016;"leddprotese_surv2_hofte";1078
974753898;463;2016;"leddprotese_surv2_hofte";444
974795396;72;2016;"leddprotese_surv2_hofte";72
974795361;438;2016;"leddprotese_surv2_hofte";427
974329506;568;2016;"leddprotese_surv2_hofte";543
974795787;350;2016;"leddprotese_surv2_hofte";344
974749025;972;2016;"leddprotese_surv2_hofte";933
874716782;60;2016;"leddprotese_surv2_hofte";57
974631407;377;2016;"leddprotese_surv2_hofte";365
974631768;976;2016;"leddprotese_surv2_hofte";953
974703300;1170;2016;"leddprotese_surv2_hofte";1147
974706490;661;2016;"leddprotese_surv2_hofte";650
974733013;441;2016;"leddprotese_surv2_hofte";426
974747138;484;2016;"leddprotese_surv2_hofte";472
974795574;203;2016;"leddprotese_surv2_hofte";195
974633191;356;2016;"leddprotese_surv2_hofte";347
974589095;208;2016;"leddprotese_surv2_hofte";202
974633574;67;2016;"leddprotese_surv2_hofte";65
922748144;123;2016;"leddprotese_surv2_hofte";113
953164701;76;2016;"leddprotese_surv2_hofte";73
974595214;344;2016;"leddprotese_surv2_hofte";330
973156829;106;2016;"leddprotese_surv2_hofte";102
879595762;259;2016;"leddprotese_surv2_hofte";254
975787419;429;2016;"leddprotese_surv2_hofte";412
974631326;1657;2017;"leddprotese_surv2_hofte";1621
974705788;398;2017;"leddprotese_surv2_hofte";384
974116804;878;2017;"leddprotese_surv2_hofte";859
974316285;773;2017;"leddprotese_surv2_hofte";765
974207532;2861;2017;"leddprotese_surv2_hofte";2798
974724774;476;2017;"leddprotese_surv2_hofte";466
974746948;534;2017;"leddprotese_surv2_hofte";504
974745569;138;2017;"leddprotese_surv2_hofte";133
974747545;386;2017;"leddprotese_surv2_hofte";371
974742985;309;2017;"leddprotese_surv2_hofte";295
974743272;284;2017;"leddprotese_surv2_hofte";267
974632535;554;2017;"leddprotese_surv2_hofte";518
