"year";"orgnr";"var";"ind_id";"denominator"
2016;974733013;3;"nger_kompl_intra_lap";58
2016;974795930;0;"nger_kompl_intra_lap";44
2016;974747138;0;"nger_kompl_intra_lap";51
2016;974747545;1;"nger_kompl_intra_lap";29
2016;974557746;11;"nger_kompl_intra_lap";257
2016;974795477;1;"nger_kompl_intra_lap";65
2016;974745569;5;"nger_kompl_intra_lap";46
2016;974631326;3;"nger_kompl_intra_lap";191
2016;974631091;2;"nger_kompl_intra_lap";32
2016;974744570;0;"nger_kompl_intra_lap";13
2016;974703300;4;"nger_kompl_intra_lap";124
2016;974743272;1;"nger_kompl_intra_lap";23
2016;974749025;1;"nger_kompl_intra_lap";57
2016;974633752;4;"nger_kompl_intra_lap";74
2016;974706490;3;"nger_kompl_intra_lap";116
2016;974631776;1;"nger_kompl_intra_lap";24
2016;974631768;1;"nger_kompl_intra_lap";7
2016;974632535;10;"nger_kompl_intra_lap";185
2016;974633574;15;"nger_kompl_intra_lap";406
2016;974633221;2;"nger_kompl_intra_lap";166
2016;974795787;0;"nger_kompl_intra_lap";56
2016;974589095;18;"nger_kompl_intra_lap";758
2016;974707152;1;"nger_kompl_intra_lap";83
2016;974795515;0;"nger_kompl_intra_lap";44
2016;974724774;6;"nger_kompl_intra_lap";153
2016;974795361;3;"nger_kompl_intra_lap";125
2017;974733013;2;"nger_kompl_intra_lap";88
2017;974795930;2;"nger_kompl_intra_lap";45
2017;974795833;3;"nger_kompl_intra_lap";38
2017;974747138;2;"nger_kompl_intra_lap";68
2017;974747545;1;"nger_kompl_intra_lap";11
2017;974557746;5;"nger_kompl_intra_lap";253
2017;974795477;2;"nger_kompl_intra_lap";76
2017;974745569;1;"nger_kompl_intra_lap";47
2017;974631326;7;"nger_kompl_intra_lap";288
2017;974631091;2;"nger_kompl_intra_lap";108
2017;974705788;6;"nger_kompl_intra_lap";118
2017;974744570;0;"nger_kompl_intra_lap";22
2017;974703300;1;"nger_kompl_intra_lap";240
2017;974743272;2;"nger_kompl_intra_lap";45
2017;974737779;1;"nger_kompl_intra_lap";102
2017;974749025;1;"nger_kompl_intra_lap";115
2017;974633752;1;"nger_kompl_intra_lap";61
2017;974706490;5;"nger_kompl_intra_lap";422
2017;974595214;0;"nger_kompl_intra_lap";32
2017;974631776;4;"nger_kompl_intra_lap";97
2017;974631768;0;"nger_kompl_intra_lap";70
2017;974632535;10;"nger_kompl_intra_lap";188
2017;974633574;9;"nger_kompl_intra_lap";413
2017;874632562;9;"nger_kompl_intra_lap";137
2017;974633221;5;"nger_kompl_intra_lap";208
2017;974795787;4;"nger_kompl_intra_lap";68
2017;974589095;23;"nger_kompl_intra_lap";992
2017;974707152;2;"nger_kompl_intra_lap";129
2017;974795515;1;"nger_kompl_intra_lap";45
2017;974724774;4;"nger_kompl_intra_lap";159
2017;974795361;1;"nger_kompl_intra_lap";104
2018;974733013;3;"nger_kompl_intra_lap";143
2018;974795930;1;"nger_kompl_intra_lap";34
2018;974795833;2;"nger_kompl_intra_lap";46
2018;974747138;1;"nger_kompl_intra_lap";50
2018;974747545;0;"nger_kompl_intra_lap";13
2018;974557746;7;"nger_kompl_intra_lap";257
2018;974795477;1;"nger_kompl_intra_lap";63
2018;974745569;2;"nger_kompl_intra_lap";42
2018;974631326;5;"nger_kompl_intra_lap";248
2018;974631407;4;"nger_kompl_intra_lap";67
2018;974631091;1;"nger_kompl_intra_lap";105
2018;974631385;0;"nger_kompl_intra_lap";6
2018;974705788;8;"nger_kompl_intra_lap";155
2018;974744570;0;"nger_kompl_intra_lap";48
2018;974703300;6;"nger_kompl_intra_lap";195
2018;974743272;0;"nger_kompl_intra_lap";40
2018;974737779;0;"nger_kompl_intra_lap";103
2018;974749025;1;"nger_kompl_intra_lap";122
2018;974633752;1;"nger_kompl_intra_lap";74
2018;974706490;5;"nger_kompl_intra_lap";427
2018;974595214;0;"nger_kompl_intra_lap";33
2018;974631776;1;"nger_kompl_intra_lap";50
2018;974631768;2;"nger_kompl_intra_lap";69
2018;974632535;10;"nger_kompl_intra_lap";191
2018;974633574;6;"nger_kompl_intra_lap";391
2018;874632562;6;"nger_kompl_intra_lap";46
2018;974633221;6;"nger_kompl_intra_lap";168
2018;974795787;0;"nger_kompl_intra_lap";62
2018;974589095;15;"nger_kompl_intra_lap";998
2018;974707152;6;"nger_kompl_intra_lap";132
2018;974795515;0;"nger_kompl_intra_lap";58
2018;974724774;6;"nger_kompl_intra_lap";169
2018;974795361;7;"nger_kompl_intra_lap";139
2019;974733013;6;"nger_kompl_intra_lap";134
2019;974795574;0;"nger_kompl_intra_lap";10
2019;974795930;1;"nger_kompl_intra_lap";44
2019;974795833;9;"nger_kompl_intra_lap";83
2019;974747138;0;"nger_kompl_intra_lap";64
2019;974747545;2;"nger_kompl_intra_lap";18
2019;974557746;11;"nger_kompl_intra_lap";341
2019;974795477;3;"nger_kompl_intra_lap";87
2019;974745569;2;"nger_kompl_intra_lap";65
2019;974631326;7;"nger_kompl_intra_lap";298
2019;974631407;3;"nger_kompl_intra_lap";62
2019;974631091;0;"nger_kompl_intra_lap";121
2019;974631385;2;"nger_kompl_intra_lap";96
2019;974705788;3;"nger_kompl_intra_lap";142
2019;974744570;3;"nger_kompl_intra_lap";76
2019;974703300;9;"nger_kompl_intra_lap";266
2019;974743272;0;"nger_kompl_intra_lap";83
2019;974737779;0;"nger_kompl_intra_lap";114
2019;974749025;7;"nger_kompl_intra_lap";278
2019;974633752;3;"nger_kompl_intra_lap";173
2019;974706490;11;"nger_kompl_intra_lap";265
2019;974595214;0;"nger_kompl_intra_lap";14
2019;974631768;5;"nger_kompl_intra_lap";171
2019;974632535;15;"nger_kompl_intra_lap";169
2019;974633574;6;"nger_kompl_intra_lap";391
2019;874632562;6;"nger_kompl_intra_lap";125
2019;974633221;3;"nger_kompl_intra_lap";224
2019;974631776;0;"nger_kompl_intra_lap";52
2019;974795787;2;"nger_kompl_intra_lap";80
2019;974589095;12;"nger_kompl_intra_lap";1230
2019;974707152;1;"nger_kompl_intra_lap";135
2019;974795515;0;"nger_kompl_intra_lap";53
2019;974724774;4;"nger_kompl_intra_lap";169
2019;974742985;3;"nger_kompl_intra_lap";143
2019;974795639;0;"nger_kompl_intra_lap";41
2019;974795361;2;"nger_kompl_intra_lap";174
2019;974795558;1;"nger_kompl_intra_lap";13
2020;974733013;3;"nger_kompl_intra_lap";64
2020;974795574;0;"nger_kompl_intra_lap";1
2020;974795930;0;"nger_kompl_intra_lap";6
2020;974795833;0;"nger_kompl_intra_lap";25
2020;974747138;4;"nger_kompl_intra_lap";90
2020;974747545;1;"nger_kompl_intra_lap";12
2020;974557746;4;"nger_kompl_intra_lap";184
2020;974795477;2;"nger_kompl_intra_lap";47
2020;974745569;1;"nger_kompl_intra_lap";17
2020;974631326;0;"nger_kompl_intra_lap";123
2020;974631407;2;"nger_kompl_intra_lap";35
2020;974631091;2;"nger_kompl_intra_lap";49
2020;974631385;0;"nger_kompl_intra_lap";25
2020;974705788;0;"nger_kompl_intra_lap";70
2020;974744570;1;"nger_kompl_intra_lap";22
2020;974703300;7;"nger_kompl_intra_lap";129
2020;974754118;0;"nger_kompl_intra_lap";17
2020;974753898;0;"nger_kompl_intra_lap";3
2020;974743272;1;"nger_kompl_intra_lap";33
2020;974737779;0;"nger_kompl_intra_lap";53
2020;975787419;0;"nger_kompl_intra_lap";65
2020;974749025;2;"nger_kompl_intra_lap";123
2020;974633752;1;"nger_kompl_intra_lap";38
2020;974706490;3;"nger_kompl_intra_lap";178
2020;974595214;0;"nger_kompl_intra_lap";13
2020;974631768;2;"nger_kompl_intra_lap";96
2020;974632535;3;"nger_kompl_intra_lap";94
2020;974633574;1;"nger_kompl_intra_lap";130
2020;874632562;2;"nger_kompl_intra_lap";50
2020;974633221;3;"nger_kompl_intra_lap";62
2020;974631776;0;"nger_kompl_intra_lap";31
2020;974795787;0;"nger_kompl_intra_lap";41
2020;974589095;4;"nger_kompl_intra_lap";685
2020;974707152;0;"nger_kompl_intra_lap";69
2020;974795515;0;"nger_kompl_intra_lap";23
2020;974724774;1;"nger_kompl_intra_lap";67
2020;974742985;0;"nger_kompl_intra_lap";62
2020;974795639;0;"nger_kompl_intra_lap";34
2020;974795396;1;"nger_kompl_intra_lap";19
2020;974795361;3;"nger_kompl_intra_lap";70
2020;974795558;1;"nger_kompl_intra_lap";6
2016;974733013;2;"nger_kompl_intra_hys";36
2016;974795930;0;"nger_kompl_intra_hys";10
2016;974747138;0;"nger_kompl_intra_hys";2
2016;974747545;0;"nger_kompl_intra_hys";17
2016;974557746;1;"nger_kompl_intra_hys";34
2016;974795477;0;"nger_kompl_intra_hys";22
2016;974745569;1;"nger_kompl_intra_hys";33
2016;974631326;3;"nger_kompl_intra_hys";236
2016;974631091;0;"nger_kompl_intra_hys";10
2016;974744570;0;"nger_kompl_intra_hys";10
2016;974703300;0;"nger_kompl_intra_hys";21
2016;974743272;0;"nger_kompl_intra_hys";8
2016;974749025;1;"nger_kompl_intra_hys";94
2016;974706490;1;"nger_kompl_intra_hys";44
2016;974631776;0;"nger_kompl_intra_hys";5
2016;974632535;5;"nger_kompl_intra_hys";137
2016;974633574;7;"nger_kompl_intra_hys";284
2016;874632562;0;"nger_kompl_intra_hys";2
2016;974633221;0;"nger_kompl_intra_hys";4
2016;974795787;0;"nger_kompl_intra_hys";57
2016;974589095;7;"nger_kompl_intra_hys";301
2016;974795515;1;"nger_kompl_intra_hys";21
2016;974724774;4;"nger_kompl_intra_hys";147
2016;974795361;2;"nger_kompl_intra_hys";42
2017;974733013;3;"nger_kompl_intra_hys";57
2017;974795930;0;"nger_kompl_intra_hys";8
2017;974795833;3;"nger_kompl_intra_hys";20
2017;974747138;0;"nger_kompl_intra_hys";2
2017;974747545;0;"nger_kompl_intra_hys";1
2017;974557746;1;"nger_kompl_intra_hys";30
2017;974795477;1;"nger_kompl_intra_hys";32
2017;974745569;0;"nger_kompl_intra_hys";49
2017;974631326;7;"nger_kompl_intra_hys";315
2017;974631091;0;"nger_kompl_intra_hys";29
2017;974705788;4;"nger_kompl_intra_hys";69
2017;974744570;1;"nger_kompl_intra_hys";9
2017;974703300;0;"nger_kompl_intra_hys";83
2017;974743272;2;"nger_kompl_intra_hys";14
2017;974737779;7;"nger_kompl_intra_hys";121
2017;974749025;0;"nger_kompl_intra_hys";218
2017;974633752;0;"nger_kompl_intra_hys";1
2017;974706490;6;"nger_kompl_intra_hys";226
2017;974595214;0;"nger_kompl_intra_hys";2
2017;974631776;2;"nger_kompl_intra_hys";21
2017;974631768;0;"nger_kompl_intra_hys";8
2017;974632535;2;"nger_kompl_intra_hys";130
2017;974633574;9;"nger_kompl_intra_hys";289
2017;874632562;5;"nger_kompl_intra_hys";54
2017;974633221;0;"nger_kompl_intra_hys";7
2017;974795787;2;"nger_kompl_intra_hys";68
2017;974589095;3;"nger_kompl_intra_hys";366
2017;974795515;0;"nger_kompl_intra_hys";15
2017;974724774;3;"nger_kompl_intra_hys";156
2017;974795361;3;"nger_kompl_intra_hys";57
2018;974733013;0;"nger_kompl_intra_hys";70
2018;974795930;0;"nger_kompl_intra_hys";4
2018;974795833;5;"nger_kompl_intra_hys";39
2018;974747545;0;"nger_kompl_intra_hys";7
2018;974557746;2;"nger_kompl_intra_hys";38
2018;974795477;0;"nger_kompl_intra_hys";36
2018;974745569;0;"nger_kompl_intra_hys";27
2018;974631326;4;"nger_kompl_intra_hys";237
2018;974631407;0;"nger_kompl_intra_hys";17
2018;974631091;1;"nger_kompl_intra_hys";32
2018;974705788;3;"nger_kompl_intra_hys";120
2018;974744570;1;"nger_kompl_intra_hys";15
2018;974703300;3;"nger_kompl_intra_hys";91
2018;974743272;1;"nger_kompl_intra_hys";27
2018;974737779;8;"nger_kompl_intra_hys";141
2018;974749025;1;"nger_kompl_intra_hys";171
2018;974706490;6;"nger_kompl_intra_hys";210
2018;974631776;0;"nger_kompl_intra_hys";13
2018;974631768;1;"nger_kompl_intra_hys";35
2018;974632535;7;"nger_kompl_intra_hys";122
2018;974633574;9;"nger_kompl_intra_hys";318
2018;874632562;3;"nger_kompl_intra_hys";28
